질병명,식사요법의 필요성,식사요법의 실제,권장 식품,주의 식품,그 외 주의사항
위궤양식,"위궤양으로 인한 복통 등의 증상으로 식사 섭취량이 줄어서 체중 감소 및 영양결핍이 나타날 수가 있습니다. 영양상태를 유지, 개선하면서 궤양의 증상을 최소화 하기 위해 식사 요법이 필요합니다.","위산분비를 증가시키거나 위점막을 직접 자극하는 음식(후추, 카페인, 알코올)들과 개별적 증상 악화 식품을 제한합니다.1. 골고루 규칙적으로 식사하고, 과식을 피합니다.2. 자극을 주는 음식이라도 일정한 기간이 지난 후 다시 한번 섭취해 보도록 합니다.3. 천천히 식사합니다.4. 커피, 콜라같은 카페인 음료는 피하고 술을 끊습니다.5. 금연합니다.6. 자극적인 음식재료(고춧가루 등)는 많이 사용하지 않습니다.","부드럽게 조리된 단백질 식품(살코기, 흰살생선, 계란찜 등)","진한 육즙, 자극성이 강한 조미료, 커피, 술, 신음식, 탄산음료",
전이성폐암식,"종양 대사 산물로 인한 체중 감소, 섭취 저하가 나타날 수 있으며 치료 과정 중의 섭취 불량으로 영양불량이 발생할 수 있으므로 식사요법을 통한 좋은 영양상태의 유지가 필요합니다.","1. 세끼 식사를 규칙적으로 하며, 밥과 반찬을 골고루 먹습니다.2. 매끼 단백질 반찬(고기, 생선, 해물, 콩, 두부, 계란)을 꼭 갖추어 먹습니다.3. 채소와 과일을 충분히 섭취합니다. (하루 5-6접시 정도)4. 조리시 식물성 지방을 충분히 사용합니다.5. 우유 및 유제품을 하루 1-2회 먹습니다.","양질의 단백질 식품(살코기, 생선, 해물, 콩, 두부, 계란), 신선한 채소, 과일, 식물성 지방(견과류), 우유 및 유제품","즙, 액기스 등의 건강보조식품, 성분이 불분명한 민간요법, 익히지 않은 어육류","식욕저하 및 다른 이유로 정상적인 식사 섭취가 어려울 경우 시간과 장소, 식품의 종류에 구애받지 말고 원하는 대로 섭취하여 체중을 유지하는 것이 무엇보다 중요하겠습니다.식사 섭취가 부족할 경우 상업용 영양음료의 섭취를 병행합니다."
전이성간암식,"암을 치료하는 특별한 식품이나 영양소는 없으며 균형잡힌 식사로 좋은 영양상태를 유지하는것이 중요합니다. 그러기 위해서는 환자에게 필요한 적절한 에너지와 단백질, 비타민 및 무기질을 공급할 수 있는 식사를 섭취해야 하며, 이는 여러가지 음식을 골고루 먹음으로써 가능합니다.간 기능에 따라 식사의 원칙에 차이가 있습니다. 일반적으로는 충분한 단백질의 섭취가 간의 회복과 재생에 도움이 되지만 간 기능이 저하되어 있는 경우에는 저단백 식이를 하여 간성뇌증이 발생하지 않도록 하여야 합니다.","1. 아침, 점심, 저녁을 규칙적으로 섭취하고 반찬은 골고루 먹습니다.2. 밥은 매끼 1그릇 정도 먹습니다. 밥 섭취가 어려울 경우 죽, 빵, 크래커, 떡, 감자, 고구마, 국수, 미숫가루 등으로 대체하며, 밥 섭취량이 적을 경우에는 간식으로 보충합니다.3. 단백질 반찬을 골고루 챙겨 먹습니다. 탕 종류의 농축된 형태의 식품보다는 반찬으로 조리하여 골고루 섭취하는 것이 좋습니다.4. 채소반찬은 매끼 2가지 이상 충분히 먹습니다.5. 과일은 하루 1~2번, 1가지 이상 먹습니다.6. 유제품을 하루 1컵 마십니다.7. 열량보충이 필요하다면 식물성 기름과 견과류를 충분히 사용합니다.8. 가능한 싱겁게 식사합니다.","현미, 보리, 서리태와 같은 잡곡 및 두류파프리카, 당근, 단호박, 양배추, 케일, 가지 등의 다양한 색의 채소, 과일류","술, 회/육회와 같은 감염 위험이 높은 식품, 젓갈/게장과 같은 염장식품성분이 모호한 건강보조식품 및 달인물/액기스류 (버섯 달인 물, 나무뿌리 달인 물, 즙/액기스류, 성분 미명확 건강보조식품류 )","환자의 질환과 치료상태에 따라 식사요법의 원칙이 달라질수 있으므로 의료진, 영양전문가와 상의합니다.간기능 정도와 증상이나 합병증 (복수, 부종, 혼수, 간경화, 정맥류 등) 유무에 따라 식사요법에 차이가 있으므로 전문가와 상의합니다.간 기능이 저하된 상태에서 효과가 검증되지 않은 여러 민간, 대체 요법의 사용은 급격한 간기능의 악화를 가져오기도 하므로 맹신하지 말고 전문의와 꼭 상의해야 합니다. 그리고 반드시 금연, 금주해야 합니다."
전립암식,항암치료 시작 시간을 지연시키고 좋은 영양상태를 유지하기 위하여 식사요법이 필요합니다.,"1. 적정체중 유지를 위한 식사 및 간식을 섭취합니다.2. 하루 3끼 식사는 거르지 말고 규칙적으로 합니다.3. 도정된 곡류 보다는 전곡류(도정되지 않은 곡류)를 선택하며, 단순 당의 섭취를 가급적 줄입니다.4. 육류는 살코기로 주 500g (익힌 고기 300g 정도) 이하 섭취합니다.5. 식물성 기름(참기름, 들기름, 식용유, 올리브 등)은 한끼에 1-2 찻술 이하로 사용하며 조림, 찜, 무침 등의 조리방법을 주로 이용합니다.6. 생선(흰살, 등푸른 생선)은 주 3~4회 정도 섭취합니다.7. 유제품은 저지방제품으로 하루 1~2컵 정도 섭취합니다.8. 다양한 색깔의 야채를 하루 5접시 이상(한끼 2접시) 섭취합니다.9. 다양한 색깔의 과일을 하루 2회 정도 섭취합니다.10. 천연조미료(파, 마늘, 생강, 겨자, 식초, 고추장, 된장, 간장, 소금 등)를 활용하여 기호도에 맞는 식단을 갖춥니다.11. 술, 담배는 금합니다.12. 주 3회 이상 하루 30분 정도는 일광을 합니다.13. 주 3회 이상 하루 1시간 정도는 유산소 운동을 합니다.14. 성분과 역할이 불분명한 건강보조식품의 남용은 피합니다.","전곡류, 신선한 채소, 과일류, 라이코펜 함유 식품(토마토 요리)","고열량식, 고지방식, 술",일시적인 식사 요법의 준수가 아닌 꾸준히 지키는 것이 병을 예방하는 지름길 입니다.
저혈압식,"저혈압 자체는 별도의 치료를 요하지 않고 특별한 예방법이나 주의사항이 없습니다. 하지만 극심한 다이어트나 적절한 영양섭취가 부족한 경우나 현기증, 두통, 저림 무기력 등의 증세가 심할 경우 이를 완화하고 정상적인 일상생활을 하기 위해 균형잡힌 식생활을 하는 것이 필요합니다.",1. 식사를 규칙적으로 하고 한꺼번에 많은 음식을 먹거나 과음하지 않습니다.2. 적절한 열량과 단백질을 섭취하고 비타민과 무기질을 충분히 섭취합니다.3. 물을 충분히 섭취합니다.4. 염분을 제한하지는 않지만 짜게 먹는 것이 큰 도움이 되지는 않으므로 적절하게 간을 해서 섭취합니다.5. 변비를 예방하기 위해 신선한 채소와 과일 등 섬유소가 풍부한 식품을 충분히 섭취합니다.,"비타민과 무기질, 섬유소가 풍부한 음식(잡곡류, 신선한 채소, 제철 과일)","포화지방이 많은 식품(삼겹살, 달고기 껍질, 햄, 소시지등)",절대 금주합니다.
저혈당증식,저혈당은 혈액 내에 인슐린 양이 상대적으로 많아지거나 포도당의 소모가 커진 경우 혈당이 매우 낮아진 상태를 말합니다. 극심한 저혈당을 초래한 경우 생명에 위험이 있으므로 빠른 시간 내에 혈당을 올릴 수 있는 단순당 식품을 섭취하여 정상 혈당을 유지하도록 해야합니다.,"1. 인슐린을 투약하는 경우 약물의 최대 작용 시간대에 간식을 배분하여 섭취합니다.2. 저혈당의 정도에 따라 필요한 분량의 단순당을 섭취합니다.- 혈당이 51~70 mg/dl 인 경우 : 당질 10-15g 섭취(사탕 5개, 주스 1/2컵, 설탕 1큰술)- 혈당이 41~50 mg/dl 인 경우 : 당질 20g 섭취(사탕 7개, 주스 2/3컵 등)- 혈당이 40 mg/dl 인 경우      : 당질 30g 섭취(사탕 10개, 주스 1컵 등)3. 저혈당 후 식사 시간이 1시간 이상 남았을때는 복합당질(식빵, 비스켓 등)과 단백질이 들어있는 식품을 섭취합니다.4. 공복에 술을 섭취하지 않습니다.5. 2시간 이상의 심한 운동을 하는 경우 혈당 정도에 따라 운동 전이나 운동 중간에 보충간식을 섭취합니다.","설탕, 사탕, 주스, 음료수, 요쿠르트 등","채소류, 튀김류등 혈당을 천천히 올리는 식품","1. 식사 간격을 적절하게 조정하여 규칙적으로 식사하고 공복시간이 길지 않게 합니다.2. 저혈당 발생에 대비해 단순당을 휴대하도록 합니다.3. 저혈당 발생 빈도와 증상을 관찰하여 식사 중 당질의 양과 활동 정도를 적절히 조절합니다.4. 저녁 식사시간이 빠르거나 약물요법을 1일 2회(저녁식사 이전 투여하는 경우) 사용하는 경우, 새벽에 심한 저혈당이 발생할 수 있으므로 취침 전 간식을 섭취하도록 합니다."
저퓨린식,"통풍이나 신결석 혹은 고요산혈증 환자에게 적용되며, 퓨린 섭취를 1일 150mg 정도로 제한하여 체내의 요산 축척을 줄임으로써 통풍이나 신결석의 발생 및 재발을 예방하기 위한 식사입니다","1. 과식하지 않고 정상 체중을 유지하도록 합니다.2. 퓨린 함량이 높은 식품의 섭취량을 피하고 보통 정도의 중간식품은 가끔 선택하도록 하며 주로 퓨린 함량이 낮은 권장식품을 선택하도록 합니다.3. 술은 체내 요산수치를 증가시키므로 피하도록 합니다.4. 단백질 식품은 계란, 두부, 치즈, 흰살 생선, 살코기 위주로 섭취합니다.5. 지방은 적당량 섭취합니다.6. 과일과 야채, 수분을 충분히 섭취합니다.",식품100g 당 퓨린 질소 함량,,"1. 체중감소를 위하여 지나친 음식 섭취 감소는 혈액 속 요산 농도를 오히려 상승시켜 통풍을 악화시킬 수 있습니다.2. 고혈압, 당뇨, 고지혈증 등의 합병증의 우려가 있으므로 염분은 가급적 제한하는 것이 바람직합니다.3. 고지방 식사는 요산의 정상적 배설을 방해하므로 튀김, 전 등의 섭취를 제한합니다."
저칼륨식,신장기능이 저하되어 있는 경우에는 소변으로 칼륨을 배설하는 능력이 감소되어 혈액 내 칼륨 농도가 올라가서 위험을 초래 할 수 있으므로 고칼륨혈증 시에는 칼륨섭취를 최대한 줄일 수 있는 식사를 합니다.,1. 칼륨은 거의 모든 식품에 널리 분포되어 있으므로 평소 식사량은 그대로 유지하면서 칼륨 함량이 높은 식품을 피합니다.2. 잡곡밥 보다는 쌀밥을 자주 이용합니다.,"흰쌀 등의 도정된 곡류, 적당량의 채소(삶아 익힌 것 : 숙주, 고사리, 가지, 부추, 당근, 돗나물, 배추, 콩나물, 가지 등), 적당량의 과일(사과, 복숭아, 감, 배, 딸기, 포도, 귤, 거봉)","잡곡밥, 보리밥, 현미, 검정쌀,  수수, 고구마, 감자, 밤, 미나리, 단호박, 늙은호박, 시금치, 아욱, 부추, 녹즙, 키위, 토마토, 바나나, 참외, 말린 과일, 메론, 과일즙 등","1. 시중의 소금 대용품(저염소금, 저염 간장)에는 칼륨이 많이 함유되어 있으므로 칼륨 함량을 확인 후 사용하도록 합니다.2. 칼륨은 수용성이므로 조리 전 식품을 충분한 양의 물(10배)에 최소한 2시간 이상 담가 건진 후 사용하며 채소를 끓는 물에 데친 후 여러번 헹구어 사용하고 데쳐낸 물은 버리고 필요한 경우 다시 물을 넣어 조리합니다.3. 식물의 껍질이나 줄기에는 칼륨이 많으므로 껍질과 줄기를 제거하고 잎만을 사용합니다."
"저신장증,왜소증,성장장애","섭식 장애의 경우 특별히 권장되는 식사요법은 없으나, 식습관에 문제가 있는 경우 이에 대한 교정이 필요합니다.                       섭식 장애로 인한 영양결핍 또는 영양 불균형은 저신장의 원인이 될 수 있으므로 이에 대한 치료를 하는 것이 좋습니다. 잘 먹지 않는 아이의 경우, 환아의 기호를 최대한 살려서 식품을 다양하게 조리하고, 간식은 구체적으로 계획된 간식만 규칙적으로 먹입니다. 특히 연령대의 칼슘 섭취 권장량을 충족시킬 수 있도록 유제품을 꼭 챙겨먹고, 양질의 단백질 식품을 매끼 먹이는 것이 중요합니다.","특별히 더 권장되는 식품은 없습니다. 모든 식품을 알맞게, 균형되게 먹는 것이 중요합니다.",영양소 함량은 낮으면서 열량이 지나치게 높은 음식을 자주 섭취하게 되면 비만해져서 성조숙증이 생길 수 있는데 성조숙증은 특히 키성장에 방해가 되므로 조심해야 합니다.,,
저마그네슘혈증식,"저마그네슘혈증은 심부전을 일으키며 허약, 근육통, 발작 등을 수반하며 갑작스런 심장마비를 일으키기도 합니다. 따라서 정상범위의 수준을 조절하기 위해 저마그네슘혈증 시에는 마그네슘 섭취를 최대한 늘려서 식사를 합니다.","1. 균형잡힌 식사를 합니다.2. 마그네슘이 풍부한 콩 및 콩제품, 견과류를 충분히 섭취합니다.3. 비타민 D는 마그네슘의 흡수를 증가 시키므로 비타민 D가 풍부한 식품(예: 우유, 계란 등을 함께 섭취합니다.)4. 식사 중의 과량의 지방, 칼슘, 인, 단백질의 섭취는 마그네슘의 흡수를 저해하므로 적당히 섭취합니다.5. 과다한 알코올 섭취를 피합니다.","코코아, 아몬드, 땅콩, 호두, 잣, 대두, 보리, 현미, 통밀, 우유, 계란, 시금치, 무청, 근대, 컬리플라워, 브로컬리, 부추 당근 등","백미 등의 도정된 곡류, 지방질이 과다한 육류, 튀김류, 인스턴트 식품, 알코올 식품",아연을 지나치게 많이(권장량의 10배) 섭취할 경우 마그네슘의 흡수율이 감소하여 마그네슘 결핍증이 생길 수 있으므로 주의합니다.
저나트륨혈증식,"심한 설사, 구토, 땀, 부신피질의 기능부전 등에 의해 체내 나트륨 함량이 감소하면 혈액량이 감소하여 혈압이 떨어져 성장감소, 식욕부진, 근육경련, 메스꺼움 등의 증상이 나타날 수 있으므로 저나트륨혈증 시에는 정상 범위의 나트륨 수치를 유지하기 위해 식사조절이 필요합니다.",1. 균형잡힌 식사를 합니다.2. 단백질 식품을 충분히 섭취합니다.3. 과다한 알코올 섭취를 피합니다.4. 필요 시 추가적인 염분을 섭취합니다.(의사의 처방에 따라서),"고기, 생선, 두부 등의 양질의 단백질 식품, 신선한 채소류, 과일류","지나친 수분섭취, 인스턴트, 가공식품 등","나트륨은 대부분의 식품에 약간씩 함유되어 있으므로 나트륨 결핍증은 드뭅니다. 따라서 나트륨을 과잉으로 장기간 섭취한 경우에는 고혈압, 부종 등의 나타날 수 있으므로 주의합니다."
폐경기 및 여성의 갱년기,여성호르몬(estrogen)은  칼슘 흡수를 촉진하고 혈액 내 콜레스테롤의 양을 감소시키는 효과가 있으나 폐경기 이후엔 여성호르몬의 감소로 골다공증이 남성에 비해 현격히 증가하게 되고 혈관의 탄력과 심장질환 보호효과를 잃게 되어 심혈관계 질환의 위험도가 폐경 전에 비해 많이 증가하므로 골다공증과 심혈관계 질환을 예방하는 식사요법이 필요합니다.,"1. 필수영양소를 충분히 섭취하되 적정 체중을 유지하도록 조절해야 합니다.2. 고칼슘 식품을 섭취합니다.3. 알코올과 탄산음료는 칼슘의 흡수를 저해하므로 자제해야 합니다.4. 저지방, 저염식으로 심혈관질환의 위험을 감소시킵니다.5. 비타민 E 등 비타민, 무기질이 풍부한 식품을 섭취합니다.6. 콩, 두부 등 대두를 이용한 메뉴를 즐깁니다. 콩 속에 함유된 이소플라본은 여성호르몬인 에스트로겐과 구조가 비슷한 물질로 갱년기 증상(얼굴홍조, 불면증)을 완화시킨다는 연구 결과들이 있으나 그 차이가 현저하게 나타나지는 않습니다.","1. 고칼슘식품 : 우유,  치즈, 두부, 뼈째먹는 생선, 미역 등2. 비타민 E 가 풍부한 식품 : 식물성 기름, 견과류, 과일 등","육류의 기름부위, 버터, 크림, 커피프림 등 포화지방산은 혈중 콜레스테롤 상승의 주원인이 되므로 피하는것이 좋습니다.",
"페닐케톤뇨증, PKU","선천성 아미노산 대사이상으로 페닐알라닌을 타이로신으로 전환시키는 효소인 페닐알라닌수산화효소가 선천적으로 저하되어 있기 때문에 페닐알라닌이 축적되어 지능장애, 담갈색 모발, 피부의 색소 결핍을 초래하는 상염색체열성 유전성질환입니다. 발생빈도는 백인의 경우 1만 4,000명당 1명 꼴로, 일본인과 한국인은 7만~8만 명당 1명 꼴의 빈도입니다.","1. 영아나 소아의 단백질 및 페닐알라닌 권장량에 따라 특수조제식의 용량이 결정됩니다.2. 국내에는 페닐알라닌 제거분유로 PKU-1, 2가 있으며 적정량의 페닐알라닌 섭취를 위해 일반분유와 혼합하여 수유합니다.   3. 처방된 양의 분유를 정확히 섭취하기 위해 하루 단위로 처방하고 처방된 분유량은 저울로 정확하게 계량해야 합니다.           4. 아이가 나이가 들면서 식사제한을 약간 느슨하게 할 수는 있으나 완전히 무시해서는 안됩니다.","페닐알라닌 함량이 낮은 과일류, 채소류, 저단백밥","페닐알라닌 함량이 높은 잔멸치, 마른문어, 마른 오징어, 대구포, 노가리, 볶은 땅콩, 북어, 검정콩, 대두, 치즈, 닭가슴살, 견과류 등",인공감미료인 아스파탐은 페닐알라닌 함량이 높으므로 페닐케톤뇨증 아동에게 사용해서는 안됩니다. 따라서 식품 성분표를 항상 확인하는 것이 중요합니다. BH4 반응형 전형적 페닐케톤뇨증에서는 저페닐알라닌 식사요법이 필요하지 않으며 일상적인 식사가 가능합니다.
패혈증식,패혈증 시에는 대사항진과 체단백의 이화작용으로 인하여 영양상태가 불량해지므로 적당량의 필수영양소를 공급하는 것이 매우 중요하므로 적절한 식사조절이 필요하게 됩니다.,1. 균형잡힌 섭취를 합니다.2. 과식을 피합니다.3. 충분한 단백질식품을 섭취합니다.4. 신선한 채소를 매끼 섭취합니다.5. 유제품을 챙겨 먹습니다.,"양질의 살코기, 생선, 두부, 계란 등의 단백질식품, 신선한 채소류, 과일류, 달지 않은 식품","사탕, 설탕 등의 과다한 단순당 섭취, 기름진 육류, 기름진 국물류, 가공식품, 익히지 않은 동물성식품(생선회, 육회, 생굴 등)",심한 패혈증의 경우 환자가 혈류 역학적으로 불안정하고 조직 내로 산소운반이 부적절할 경우에는 당분간 구강 영양지원을 중단하는 것이 좋습니다.
파킨슨증후군식,"팔의 떨림과 경직으로 스스로 식사할 수 있는 능력이 상실되기도 하고, 위배출, 변비, 식욕감퇴나 삼킴장애로 체중감소가 발생할 수 있으므로 탈수나 체중감소를 예방하고 삼킴장애로 인한 흡인을 예방하는 것이 중요합니다.","1. 씹거나 삼키는 기능에 문제가 있을 경우 치아보조식 또는 연하곤란식으로 음식을 다지거나 갈아서 섭취합니다.2. 식사시간에는 되도록 환자 스스로 숟가락을 사용하여 먹도록 유도하고, 간간히 도움을 줍니다.3. 필요시 소량씩 자주 섭취합니다.4. 엘-도파 약물 사용 시 단백질 섭취를 줄이기도 합니다.5. 적당량의 수분 섭취를 유지합니다.","1. 물, 주스, 우유 등 액상 형태의 대부분의 식품은 '점도증진제(음식의 점도 조절용)'를 섞어서 섭취할 수 있습니다.2. 삼킴 장애가 심하고 씹지 못 할 때는 밥보다는 죽을 쑤어 블렌더로 곱게 갈아 꿀농도만큼 걸쭉하게 드시길 권장합니다.  반찬(고기, 생선살 나물 등)도 익힌 후 죽을 함께 넣고 블렌더로 곱게 갈아 걸쭉하게 드실 수 있습니다.3. 우유대신 요거트를 권장합니다.","삼킴곤란 시 묽은 액체형태의 식품(물, 우유, 주스 등) 섭취는 주의합니다.","1. 삼킴곤란 시는 흐르는 액체 형태의 물, 주스, 우유등은 기도로의 흡인의 가능성이 있으므로 사래나 기침 등의 증상이 있는 경우 정확한 의료진의 진단이 필요합니다.2. 식사 섭취 시 작은 숟가락을 사용합니다.3. 베개로 등뒤와 옆구리를 받치거나 의자에 허리를 펴고 앉아 턱은 약간 아래로 향하도록 하여 식사합니다.4. 보호자의 관찰 하에 식사합니다.5. 탈수를 방지하기위해 점도증진제를 적절히 이용하여 수분 섭취를 합니다."
크론병식,"식사량의 감소, 영양소의 소화, 흡수 장애 등 영양관련 문제점을 예방하기 위해 적절한 식사요법이 필요합니다.",1. 저섬유소 식품을 섭취하면서 대변의 양을 줄입니다.2. 기름진 육류 또는 힘줄 부위의 질긴 부위를 제한합니다.3. 소량의 자주 섭취합니다.4. 설사 발생 시 수분을 충분히 섭취하여 탈수를 예방합니다.5. 지방변이 있는 경우 고지방 식품을 제한합니다.6. 유당불내성이 있는 경우 우유나 유제품 섭취를 제한합니다.- 유당불내성: 우유를 마셨을 때 설사 또는 복부 불편감이 나타나는 현상,"흰밥, 연한 쇠고기, 돼지고기 살코기, 계란, 두부, 생선, 애호박, 가지, 양송이 버섯 등 부드러운 야채, 과일(씨, 껍질 제거), 영양 보충 음료 등","잡곡류, 팝콘, 질긴 육류, 조개류, 비지, 도라지, 고사리, 미나리 등 질긴 야채, 말린 과일, 견과류, 카페인 음료, 탄산음료 등",증상 및 치료(수술 등)에 따라서 식사요법은 달라질 수 있습니다.
콜레라식,"콜레라균(vibrio cholerae)의 감염으로 발생하는 급성 설사로 인한 심한 탈수로 체액손실이 증가되어 수분및 전해질, 영양분 등의 불균형을 초래할 수 있으므로 적절한 영양관리가 필요합니다.","1. 일반적으로 24시간 금식하면서 정맥주사를 맞습니다.2. 위장의 기능이 회복된 것으로 생각되면 처음에는 유동식으로 식사를 시작합니다.3. 초기에는 소량씩 자주 공급하고 필요하면 영양보충액을 사용합니다.4. 보리, 현미, 콩 등의 잡곡 대신 쌀밥을 섭취합니다.5. 생야채, 해조류의 섭취를 제한합니다.6. 생과일 대신 과일통조림이나 과일쥬스를 마십니다.7. 매끼 연한 육류, 생선, 두부, 계란 등을 충분히 섭취합니다.","초기 - 쌀미음, 국물(고기, 생선),삶은채소(당근, 호박, 오이, 시금치, 양송이, 가지 등), 보리차, 익힌 생선, 고기, 과일즙회복기 - 쌀밥, 살코기, 계란, 두부, 닭고기, 생선, 유제품, 잘 익힌 시금치, 애호박, 당근, 숙주, 양송이, 가지, 양상치, 바나나, 과일통조림","신선한 채소, 견과류(땅콩, 호두, 잣 등), 신선한 과일, 유제품(우유, 두유, 요구르트, 요거트, 저지방우유), 기름진 육류, 튀김,주류(소주, 맥주, 막걸리 등), 과량의 된장, 고추장, 고춧가루, 겨자 등",1. 맑은 유동식은 대부분의 영양소가 부족하므로 1~2일 이상은 피합니다.2. 소장점막의 손상으로 당분간 유당 분비가 감소될 수 있으므로 유제품 섭취에 주의합니다.
췌장암식,"췌장 내에 종양이나 염증으로 췌장을 절제한 환자의 경우 소화력 저하를 경험할 수 있으므로 소화 및 흡수가 잘 되는 식품과 조리법을 선택하여 식사하도록 하고, 체중감소를 예방하기 위해 식사요법이 필요합니다.","1. 부드러운 음식으로 소량씩 꼭꼭 씹어서 섭취합니다.2. 섭취량이 부족할 경우 하루 4~6회로 나누어 섭취하고, 간식으로 보충합니다.3. 충분한 단백질 섭취를 위해 부드러운 살코기, 생선, 두부, 계란 등 양질의 단백질 반찬을 섭취합니다.4. 튀김, 전, 볶음 등의 고지방 음식과 자극적인 음식은 피합니다.5. 설사 증상이 있는 경우 수분을 충분히 섭취합니다.6. 알코올, 카페인 음료(녹차, 커피, 홍차, 콜라 등), 향신료 등 자극적인 음식은 제한합니다.","감자, 스프, 카스텔라, 살코기(돼지고기, 쇠고기, 닭고기), 두부, 생선, 두부, 저지방우유, 치즈 등","감자튀김, 팝콘, 기름진 육류(삼겹살, 갈비, 베이컨 등), 말린 나물, 말린 과일, 술 등",증상 및 치료(수술 등)에 따라서 식사요법은 달라질 수 있습니다.
천식식단,호흡곤란 등 알레르기를 유발하는 식품은 제한하고 과다한 호흡으로 인해 부족해질 수 있는 수분을 충분히 보충합니다.,"1. 식품 알레르기에 의한 천식의 경우 알레르기 유발식품을 섭취하지 않도록 합니다.2. 고열량 고단백식을 통해 면역강화를 하도록 합니다. 필요로 하는 식사량을 충분히 유지하고 매끼 살코기, 생선, 두부, 계란 등을 챙겨서 섭취하도록 합니다.3. 충분한 채소와 과일 섭취가 이루어지도록 합니다.","살코기, 생선, 두부, 신선한 채소 및 과일",개인적인 증상이 유발되는 식품,"주변환경관리(대기오염, 집먼지 진드기, 꽃가루 등)에 유의하도록 합니다."
지방간식,"간세포에 중성지방이 축적된 질환으로 비만, 에너지( 동물성지방, 당질 등)과잉 섭취, 과다한 알코올 섭취 등이 원인이 되며 이를 관리하기 위해 식사 요법이 필요합니다.","1. 과체중 혹은 비만인 경우, 체중감량을 하도록 합니다.2. 계획한 식사 및 간식 외의 불필요한 간식 섭취를 줄여 에너지 섭취를 줄입니다.3. 기름진 육류 및 가공품 섭취는 줄입니다.4. 부족한 비타민 및 무기질 보충을 위해 채소를 충분하게 먹습니다.5. 금주합니다.6. 규칙적인 운동을 합니다.","채소, 균형적인 식사","기름진 음식, 기름진 육류, 단순당 위주의 음식( 음료, 설탕, 꿀, 단음식), 술, 폭식",녹즙 등 고농축 음식이나 민간요법은 간기능을 약화시킬 수 있으므로 주의합니다.
제대혈조혈모세포식,제대혈 조혈모세포 이식 직후에는 감염을 예방하기 위하여 익힌 음식 위주로 섭취하며 빠른 회복을 도모하기 위해 균형잡힌 고른 식품섭취를 하도록 합니다.,"1. 곡류, 어육류, 채소류, 과일류, 우유류를 고루 섭취합니다.2. 식사량이 부족한 경우 의사의 처방에 의해 관급식이나 정맥영양제를 통해 영양보충을 계획할 수 있습니다.3. 식사량이 부족하면 간식으로 포함하여 소량씩 자주 섭취합니다.4. 매끼 양질의 어육류나 두부, 계란 등을 섭취합니다.5. 고기나 생선은 반드시 익혀서 섭취하도록 합니다.","잘 익힌 생선이나 살코기, 잘 씻은 채소, 껍질 벗긴 과일","익히지 않은 생선이나 고기, 생선회, 육회, 생선초밥","제대조혈모세포 이식 직후에는 멸균식(sterile diet)을 하도록 합니다.1. 동물성 식품을 익혀서 섭취합니다.2. 야채는 익혀서, 과일은 세정 후 껍질을 벗겨서 섭취합니다.3. 시판제품 중 살균, 멸균 조리된 제품을 이용합니다.4. 조리된 식품은 2시간 이내에 냉장보관하며, 24시간내 먹도록 합니다.5. 조리 전, 식사 전에 손을 깨끗이 씻도록 합니다.6. 가공식품은 유통기한을 확인하도록 합니다."
후천성면역결핍증식,"필요한 영양소를 공급하고 질병이 진행됨에 따라 영양소의 비정상적인 상태와 불내성이 나타날 때 식사를 변형, 수정하여 영양불량상태를 예방하거나 지연시키기 위해 식사조절이 필요합니다.",1. 균형잡힌 식사를 합니다.2. 단백질 식품을 충분히 섭취합니다.3. 충분한 수분을 섭취합니다.4. 비타민제 섭취 시에는 과잉 섭취되지 않도록 주의합니다.,"양질의 살코기, 생선, 두부, 계란 등의 단백질 식품, 신선한 채소류, 과일류, 달지 않은 식품","과량의 비타민제 섭취, 사탕, 설탕 등의 과다한 단순당 섭취, 기름진 육류, 기름진 국물류, 가공식품, 인스턴트 식품(라면, 햄버거 등)",흡수불량이 의심되는 경우에는 저지방식과 중쇄중성지방을 이용할 수 있습니다.
